
qstr_Next_Page|下 一 页 
qstr_{s1}{s2}_{reg46?Repu|{s1}{s2}{reg46?被 认 为 {s42}:}^声 望 : {reg40}, 争 议 : {reg41}{reg46?急 躁 : {reg43}:}^{s45}的 贵 族 ^{reg46?国 王 : {s46}, 关 系 : {reg47}:{s45}的 统 治 者 }^^{reg48?当 前 是 {s48}的 俘 虏 :}^距 上 次 见 面 的 天 数 : {reg49}^^封 地 {reg51?(被 许 诺 有 一 块 封 地 ):}:^ {reg50?{s50}:没 有 封 地 }
qstr_conventional|传 统 的 
qstr_adventurous|好 战 的 
qstr_otherwordly|善 良 的 
qstr_ambitious|狡 猾 的 
qstr_moralist|正 直 的 
qstr_just_met|刚 认 识 
qstr_admirer|钦 佩 的 
qstr_promised|有 誓 言 的 
qstr_breakup|关 系 破 裂 的 
qstr_unknown|陌 生 的 
qstr_Heroic_{s50}|史 诗 的 {s50}
qstr_Allegoric_{s50}|寓 言 的 {s50}
qstr_Comic_{s50}|喜 剧 的 {s50}
qstr_Mystic_{s50}|神 秘 的 {s50}
qstr_Tragic_{s50}|悲 剧 的 {s50}
qstr_{s1}{s2}_Controversy|{s1}{s2}争 议 : {reg41}^声 望 : {s42}, 求 爱 进 度 : {s43}^属 于 {s45}^{reg46?她 的 父 亲 , {s46}:她 的 监 护 人 , {s46}}{s47}^允 许 拜 访 : {reg45?是 :否 }{reg48?和 {s48}订 婚 :}^^距 上 次 见 面 的 天 数 : {reg49}^^诗 歌 :^ {reg50?{s50}:没 听 过 诗 歌 }
qstr_Gathering_support|收 集 供 给 品 
qstr_Gathering_intelligen|在 {s66}收 集 情 报 
qstr_Ambassy_to_{s66}|去 {s66}的 大 使 
qstr_Minister|大 臣 
qstr_{s1}_{s2}^Reputation|{s1}，{s2}^声 望 : {s42}^出 生 于 {s43}^与 {s45}的 {s44}有 联 系 .^^{reg48?当 前 被 {s48}俘 虏 :}^距 上 次 见 面 的 天 数 : {reg49}^^当 前 任 务 :^ {s50}{reg50?, {reg50}天 后 返 回 。 :}
qstr_{s1}^|{s1}^
qstr_Added_money_for_your|给 老 马 加 钱 
qstr_A_{s0}_is_being_buil|一 个 {s0}正 在 建 造 中 。 建 造 将 在 {reg6} 天 后 完 成 。
qstr_{s20}{reg2?Our_gover|{s20}{reg2?我 们 的 政 府 :{s5}的 政 府 }是 {s0}。 {reg3?^: }
qstr_{s20}The_upper_class|{s20}上 流 社 会 是 {s0}。 {reg3?^: }
qstr_{s20}{reg2?Our:The}_|{s20}{reg2?我 们 的 :}人 民 有 {s0}。 {reg3?^: }
qstr_{s20}{reg2?Our:The}_t|{s20}{reg2?我 们 的 :}部 队 有 {s0}。 {reg3?^: }
qstr_{s20}{reg2?Our:The_g|{s20}{reg2?我 们 :政 府 }通 过 {s0}进 行 贸 易 。 {reg3?^: }
qstr_You_can_find_{s10}s_|你 可 以 在 {s11}找 到 {s10}。
qstr_You_have_raised_{reg|你 筹 集 了 {reg0}/{reg1}第 纳 尔 的 赎 金 
qstr_You_have_been_knocke|您 被 敌 人 击 倒 了 。 继 续 督 战 或 按 TAB 撤 退 。 
qstr_Selected_Troop:_{s1}|选 择 部 队 ： {s1}
qstr_No_Troops_Left.|没 有 剩 余 部 队 。
qstr_{s1}_troops|{s1} 部 队 
qstr_hero|英 雄 
qstr_companion|同 伴 
qstr_king|国 王 
qstr_pretender|王 位 觊 觎 者 
qstr_lady|女 士 
qstr_bandit|强 盗 
qstr_minstrel|吟 游 诗 人 
qstr_bookseller|书 籍 商 人 
qstr_traveler|旅 行 者 
qstr_ransom_broker|奴 隶 贩 子 
qstr_mercenary|佣 兵 
qstr_multiplayer_troop|多 玩 家 部 队 
qstr_quick_battler|迅 捷 勇 士 
qstr_arena_master|竞 技 场 老 板 
qstr_walker|路 人 
qstr_merchant|商 人 
qstr_armor_merchant|防 具 商 人 
qstr_weapon_merchant|武 器 商 人 
qstr_tavernkeeper|酒 馆 老 板 
qstr_goods_merchant|杂 货 商 人 
qstr_horse_merchant|马 匹 贩 子 
qstr_guildmaster|镇 长 
qstr_village_elder|村 长 
qstr_startup_merchant|初 始 商 人 
qstr_tournament_fighter|竞 技 场 斗 士 
qstr_court_member|王 宫 成 员 
qstr_fighter|斗 士 
qstr_Acquired_{s0}_s_clot|获 取 {s0}的 服 装 
qstr_{!}script_battlegrou|{!}script battlegroup place around leader: invalid leader agent (bad call)
qstr_{!}script_battlegroup|{!}script battlegroup place around leader: leader team mismatch (bad call)
qstr_ranks|排 阵 
qstr_shield_wall|盾 墙 
qstr_wedge|楔 形 阵 
qstr_square|方 阵 
qstr_up|上 
qstr_Division_{reg1}_{s2}|{reg1} {s2} 纵 队 组 成 {s1}.
qstr_Not_enough_troops_in|没 有 足 够 的 {s2}组 成 {s1}，但 可 以 坚 守 。
qstr_Division_{reg1}_{s2}_|{reg1} {s2} 纵 队 是 一 个 {s3} 纵 队 ，不 能 组 成 {s1}.
qstr_{s1}:_infantry_forma|{s1}: 步 兵 阵 型 解 散 。
qstr_{s1}:_archer_formati|{s1}: 弓 兵 阵 型 解 散 。
qstr_{s1}:_skirmisher_for|{s1}: 游 击 兵 阵 型 解 散 。
qstr_{s1}:_cavalry_format|{s1}: 骑 兵 阵 型 解 散 。
qstr_{s1}:_formation_disa|{s1}: 阵 型 解 散 。
qstr_Cavalry_formation_di|骑 兵 阵 型 解 散 。
qstr_The_placement_of_{s1|已 保 存 {s1} {reg0} 纵 队 排 布 。
qstr_The_placement_of_{s1}|已 重 置 {s1} {reg0} 纵 队 排 布 为 默 认 。
qstr_Your_party_s_tactica|你 队 伍 的 战 术 技 能 限 制 了 你 部 署 部 队 的 距 离 ！ 
qstr_...and_attack_enemy_| ...并 且 攻 击 敌 人 {s1}部 队 ！ 
qstr_{s2}:_returning_afte|{s2}： 消 灭 敌 人 {s1}的 部 队 后 返 回 。
qstr_infantry|步 兵 
qstr_archer|弓 兵 
qstr_cavalry|骑 兵 
qstr_polearm|枪 兵 
qstr_skirmisher|散 兵 
qstr_mounted_archer|弓 骑 兵 
qstr_support|后 勤 
qstr_bodyguard|保 镖 
qstr_undetermined_type_of|未 归 类 的 
qstr_{!}battlegroup_get_a|{!}battlegroup get action radius: negative radius for team {reg0} division {reg1} formation {reg2}
qstr_Lame|瘸 腿 
qstr_Swaybacked|背 伤 的 
qstr_Timid|胆 小 的 
qstr_Meek|温 顺 的 
qstr_Stubborn|倔 强 的 
qstr_Heavy|重 
qstr_Spirited|活 泼 的 
qstr_Champion|一 流 的 
qstr_Cracked|开 裂 的 
qstr_Battered|磨 损 的 
qstr_Thick|增 厚 的 
qstr_Reinforced|强 化 
qstr_Rusty|生 锈 的 
qstr_Tattered|破 旧 的 
qstr_Ragged|褴 褛 的 
qstr_Crude|粗 制 的 
qstr_Sturdy|结 实 的 
qstr_Hardened|硬 化 
qstr_Lordly|高 贵 的 
qstr_Broken|损 坏 的 
qstr_Bent|弯 曲 的 
qstr_Chipped|缺 口 的 
qstr_Strong|坚 固 的 
qstr_Balanced|平 衡 的 
qstr_Tempered|回 火 的 
qstr_Masterwork|大 师 级 
qstr_Large_Bag_of|一 大 袋 
qstr_You_got_keys_to_the_|你 得 到 了 地 牢 钥 匙 。
qstr_Sensitivity___25%__{|灵 敏 度 - 25% ({reg8}，{reg9})
qstr_Sensitivity_+_25%__{|灵 敏 度 + 25% ({reg8}，{reg9})
qstr_Division_Placement|纵 队 排 布 
qstr_Complex_Formations|复 杂 阵 型 
qstr_Formations_turned_OF|阵 型 系 统 已 在 菜 单 选 项 中 被 关 闭 
qstr_Division_{reg1}_{s2}_g|纵 队 {reg1} {s2} 前 往 既 定 位 置 ...
qstr_Division_{reg1}_{s2}_f|纵 队 {reg1} {s2} 组 成 行 (已 保 存 的 ) 。
qstr_Division_{reg1}_{s2}_fo|纵 队 {reg1} {s2} 组 成 {reg0} 行 (已 保 存 的 ) 。
qstr_You_got_the_keys_to_|你 得 到 了 地 牢 钥 匙 。
qstr_You_must_stay_behind|你 必 须 站 在 线 后 ！ 此 次 攻 击 无 效 。 
qstr_Tutorial|训 练 
qstr_Press_Tab_when_you_a|按 Tab 键 结 束 观 察 。
qstr_Still_need_some_more|还 要 等 待 一 会 。
qstr_Press_Tab_again_to_f|再 次 按 Tab 键 结 束 。
qstr_Breaking_camp...|停 止 宿 营 …… 
qstr_Removing_disguise...|移 除 伪 装 ...
qstr_{s17}_has_{reg17}_de|{s17}拥 有 {reg17}第 纳 尔 
qstr_{!}{s3}_commander_of|{!}{s3} commander of party #{reg4} which is not his troop leaded party {reg5}
qstr_{!}_Commanded_party_|{!} Commanded party #{reg4} is {s3}, troop leaded party #{reg5} is {s65}
qstr_{!}DEBUG____Doing_po|{!}DEBUG -- Doing political calculations for {s9}
qstr_{!}DEBUG___{s4}_faction_chan|{!}DEBUG - {s4} faction changed in defection 
qstr_{s5}_has_decided_to_|{s5}决 定 将 {s4}封 赏 给 {s7}的 另 一 位 领 主 。
qstr_{!}DEBUG___{s4}_is_i|{!}DEBUG - {s4} is in {s5}, should be in {s6}, disabling political cheat mode 
qstr_A_livestock_epidemic|在 {s4}发 生 的 畜 病 杀 死 了 {reg4}头 牛 。
qstr_{!}DEBUG_:_tax_rate_|{!}DEBUG : tax rate in {s6}: {reg0}
qstr_{!}DEBUG_:_accumulat|{!}DEBUG : accumulated rents in {s6}: {reg0}
qstr_{!}DEBUG_:_rent_chan|{!}DEBUG : rent change in {s6}: {reg0} in {s6}
qstr_{!}DEBUG_:_tax_rate_a|{!}DEBUG : tax rate after modi in {s6}: {reg0}
qstr_{!}DEBUG_:_center_re|{!}DEBUG : center relation: {reg0}
qstr_There_has_been_a_rio|在 {s6}发 生 了 一 场 骚 乱 !
qstr_Your_party_is_spotte|你 的 部 队 被 {s1}发 现 了 。 
qstr_Party_has_nothing_to|部 队 没 有 食 物 了 ！ 
qstr_re_initializing_bann|初 始 化 旗 帜 信 息 
qstr_{reg1}_{s1}_{reg2?ha|{reg1}个 {s1}{reg2?已 :已 }趁 着 夜 色 逃 离 了 你 的 队 伍 。 
qstr_{s1}_of_{s3}_has_bee|{s3}的 {s1}已 经 从 监 狱 里 释 放 出 来 了 。 
qstr_Building_of_{s0}_in_|{s4}的 建 筑 物 {s0}已 经 完 工 了 。 
qstr_{s1}_has_won_the_tou|{s1}赢 得 了 在 {s2}的 比 赛 。 
qstr_{!}{s1}_is_infested_|{!}{s1}遭 到 {s2}的 袭 扰 （在 夜 间 ）。
qstr_{s1}_is_no_longer_in|{s1}不 再 受 到 夜 间 强 盗 侵 扰 。 
qstr_{!}{s1}_is_holding_a|{!}{s1}正 在 举 办 一 场 竞 技 大 会 。
qstr_You_are_within_the_w| 您 在 一 个 附 属 的 封 臣 的 城 堡 之 内 ，不 必 支 付 住 宿 费 。 
qstr_You_pay_for_accommod|你 支 付 了 住 宿 费 。 
qstr_You_are_unable_to_pa|你 无 力 支 付 住 宿 费 ！
qstr_Betrothal_to_{s5}_ex|和 {s5}的 婚 约 已 过 期 
qstr__Your_tactics_skill_|你 的 战 术 技 能 提 高 1 级 。 
qstr__Your_persuasion_ski|你 的 说 服 力 技 能 提 高 1 级 。 
qstr__Your_leadership_ski|你 的 统 御 技 能 提 高 1 级 。 
qstr__Your_intelligence_h|你 的 智 力 提 高 1 点 。 
qstr__Your_trade_skill_ha|你 的 交 易 技 能 提 高 1 级 。 
qstr__Your_weapon_master_|你 的 武 器 掌 握 技 能 提 高 1 级 。 
qstr__Your_engineer_skill|你 的 工 程 学 技 能 提 高 1 级 。 
qstr_You_have_finished_re|你 已 经 读 完 了 {s1} 。 {s2}
qstr_Book_Read|读 书 
qstr_{s1}_is_scouted.|{s1} 侦 察 完 毕 。 
qstr_{!}DEBUG___{s4}_faction_chang|{!}DEBUG - {s4} faction changed from slot troop change to faction 
qstr_{s1}_has_switched_fr|{s1}由 {s2}转 到 {s3} 。 
qstr_{!}DEBUG_:_{s2}_is_b|{!}调 试 ：{s2}遭 到 {s3}的 围 攻 。
qstr_{!}DEBUG___Checking_|{!}DEBUG - Checking fire at {s4} for {s5} - current time {reg3}, last nearby fire {reg4}
qstr_{!}_A_slot_had_an_un|{!} A slot had an unexpected value: {reg0}. This might be because you are using an incompatible troop list, or are using a non-native strange game. This message will repeat daily.
qstr_{!}_DEBUG___Detected|{!} DEBUG - Detected a new version of diplomacy: previous version was {reg0}, and current version is {reg1}. Performing updates.
qstr_{!}DEBUG___Fixed_slo|{!}DEBUG - Fixed slot troop mother for {s0}.
qstr_{!}DEBUG___When_fixi|{!}DEBUG - When fixing slot troop mother for {s0}, could not find a valid mother.
qstr_{!}DEBUG___Changed_o|{!}DEBUG - Changed occupation of {s0} to dplmc slto exile 
qstr_{!}FIXED_PROBLEM___C|{!}FIXED PROBLEM - Cancelled erroneous version of qst wed betrothed female. You should be able to marry normally if you try again.
qstr_{!}_Bug_fix:_set_per|{!} Bug fix: set personality types for {reg0} {reg1?lords:lord}
qstr_{!}_Bug_fix:_set_pers|{!} Bug fix: set personality types for {reg0} {reg1?ladies:lady}
qstr_Your_recruiter_who_wa|原 本 负 责 为 {s13}征 募 {reg10}名 新 兵 的 募 兵 官 被 击 败 ！
qstr_{s13}_has_been_taken|{s13}已 被 敌 人 占 领 ，原 本 负 责 征 募 {reg10}名 新 兵 的 募 兵 官 已 失 联 ！ 
qstr_ERROR_IN_THE_RECRUIT|ERROR IN THE RECRUITER KIT SIMPLE TRIGGERS!{***}
qstr_A_recruiter_has_brou|征 兵 人 员 已 带 领 {reg10}个 新 兵 到 达 {s13} 。 
qstr_Distance_between_{s1|{s14}和 {s15}之 间 的 距 离 ： {reg0}
qstr_Your_caravan_has_bro|你 的 商 队 带 着 {s12}达 到 {s13} 。 
qstr_{!}_Gift_price_facto|{!} Gift price factor {reg0}/100, effective value {reg1}
qstr_{s13}_is_unimpressed|面 对 你 微 不 足 道 的 礼 物 ，{s13}不 为 所 动 。 
qstr_The_people_of_{s13}_|面 对 你 微 不 足 道 的 礼 物 ，{s13}的 人 们 不 为 所 动 。 
qstr_Your_caravan_has_los|你 的 商 队 迷 失 了 方 向 并 且 放 弃 了 你 交 予 的 任 务 。 
qstr_Your_messenger_reach|你 的 信 使 到 达 {s13} 。 
qstr_{s14}|{s14}
qstr_Your_messenger_has_l|你 的 信 使 迷 失 了 方 向 并 且 放 弃 了 你 交 予 的 任 务 。 
qstr_Not_enough_money_in_|金 库 里 没 有 足 够 的 钱 来 升 级 {s6} 。 
qstr_Your_constable_upgra|你 的 治 安 官 在 {s8}把 {reg5}个 {s6}升 级 为 {s7} 。 
qstr_Your_soldiers_patrolli|因 为 你 无 法 支 付 薪 水 ，你 正 在 巡 逻 {s6}的 士 兵 被 解 散 了 。 
qstr_{!}DEBUG___Removed_{|{!}DEBUG - Removed {s5} because {s4} cannot support that many patrols 
qstr_It_is_rumoured_that_|有 传 言 说 ，我 们 的 探 子 在 {s11}被 捕 。 
qstr_{!}DEBUG___centraliz|{!}DEBUG - centralization {reg1}
qstr_{!}DEBUG___aristocra|{!}DEBUG - aristocracy {reg1}
qstr_{!}DEBUG___quality_{|{!}DEBUG - quality {reg1}
qstr_{!}DEBUG___serfdom_{|{!}DEBUG - serfdom {reg1}
qstr_{!}DEBUG___mercantil|{!}DEBUG - mercantilism {reg1}
qstr_{!}DEBUG___changing_|{!}DEBUG - changing {reg1} of {reg2} for {s12}
qstr_{!}DEBUG___relation_|{!}DEBUG - relation change = {reg1} for {s9}
qstr_{!}DEBUG___no_eligib|{!}DEBUG - no eligible lords in exile 
qstr_{!}DEBUG___{reg0}_lo|{!}DEBUG - {reg0} lords found in exile; randomly decided not to try to return anyone.
qstr_{!}DEBUG___{reg1}_lo|{!}DEBUG - {reg1} lords found in exile; {s4} chosen to return, score was {reg0}
qstr_{!}DEBUG___{s4}_foun|{!}DEBUG - {s4} found no faction to return to!
qstr_{!}DEBUG___Not_retur|{!}DEBUG - Not returning a lord to the player's kingdom, since there are already {reg0} lords waiting for their petitions to be heard.
qstr_{s0}_is_grumbling_ag|{s0}正 在 散 布 对 你 不 利 的 言 论 。 如 果 任 其 发 展 将 会 威 胁 到 你 的 封 地 。 
qstr_{s0}_is_grumbling_aga|{s0}正 在 散 布 对 你 不 利 的 言 论 。 但 是 在 {s1}的 支 持 下 你 现 在 还 保 留 着 你 的 封 地 。 
qstr_Your_last_fief_was_c|你 没 能 保 住 最 后 一 块 领 地 并 失 去 了 金 库 里 {reg0}/{reg1}的 财 产 ！ 
qstr_{!}DEBUG____Wanted_b|{!}调 试 ：遭 通 缉 的 强 盗 被 {s4}发 现 了 
qstr_Checking_rejoin_of_{|距 离 {s10}归 队 还 剩 {reg0} 天 
qstr_{!}DEBUG_:_chamberla|{!}DEBUG : chamberlain: {reg0}
qstr_{!}DEBUG_:_constable|{!}DEBUG : constable: {reg0}
qstr_{!}DEBUG_:_chancello|{!}DEBUG : chancellor: {reg0}
qstr_{reg65?my_Lady:my_Lo|{reg65?尊 敬 的 女 士 :我 的 大 人 }
qstr_{reg65?My_Lady:My_Lo|{reg65?尊 敬 的 女 士 :我 的 大 人 }
qstr_{reg65?madame:sir}|{reg65?夫 人 :先 生 }
qstr_{reg65?Madame:Sir}|{reg65?夫 人 :先 生 }
qstr_{!}DEBUG____Talk_con|{!}调 试 ：对 话 内 容 ：{reg4}
qstr_{!}DEBUG____Time_sin|{!}调 试 ：距 上 次 对 话 结 束 的 时 间 ： {reg4}
qstr_{s0}_loses_10_renown|{s0}失 去 了 10 声 望 
qstr__no_fiefs_|（ 没 有 封 地 ） 
qstr__fiefs:_{s0}_|（ 封 地 ： {s0}） 
qstr_{!}g_talk_troop_=_{r|{!}g talk troop = {reg0} , g encountered party = {reg1} , slot value = {reg2}
qstr_{!}Persuasion_attemp|{!}Persuasion attempt: skill {reg1} versus random roll {reg0} (-2 through 12)
qstr_It_s_your_money_or_y|要 钱 还 是 要 命 ，{小 伙 子 /小 姑 娘 } 。 不 快 跑 的 话 ，我 们 会 折 磨 死 你 。 
qstr_Lucky_for_you_you_ca|你 很 走 运 ，刚 好 碰 到 我 心 情 不 错 的 时 候 。 交 出 你 所 有 的 钱 ，我 就 让 你 活 着 离 开 。 
qstr_This_a_robbery_eh?_I|这 是 一 次 抢 劫 ，明 白 不 ？ 我 给 你 一 个 机 会 交 出 你 所 有 的 东 西 ，否 则 我 和 我 的 兄 弟 们 将 杀 了 你 ，明 白 不 ？ 
qstr_we_have_made_very_li|到 目 前 为 止 ，我 们 还 没 什 么 进 展 
qstr_we_have_suceeded_in_|我 们 成 功 占 领 了 一 些 土 地 ，但 是 我 们 还 有 很 长 的 一 段 路 要 走 
qstr_we_have_become_a_sig|我 们 现 在 成 了 显 赫 一 方 的 势 力 了 ，我 们 很 有 机 会 能 赢 得 最 终 的 胜 利 
qstr_we_are_winning_the_w|我 们 正 向 胜 利 迈 进 ，但 是 我 们 的 敌 人 依 旧 负 隅 顽 抗 。 
qstr_we_are_on_the_verge_|我 们 已 经 接 近 最 终 的 胜 利 了 。 残 余 的 敌 人 完 全 够 不 成 威 胁 ，但 是 我 们 仍 需 将 其 赶 尽 杀 绝 。 
qstr_{!}{playername}|{!}{playername}
qstr_our_realm|我 们 的 王 国 
qstr_{!}current_town_was_|{!}当 前 城 镇 为 {reg1}，目 前 移 至 {s7}
qstr_Your_kingdom_has_no_|你 的 王 国 没 有 指 定 的 文 化 
qstr_Your_kingdom_culture|你 的 王 国 的 文 化 ： {s11}
qstr_Kingdom_culture:_Non|王 国 文 化 ：没 有 
qstr_Kingdom_culture:_{s1|王 国 文 化 ：{s11}
qstr_{s11}|{s11}
qstr_According__to_the_re|根 据 我 们 间 谍 的 汇 报 。 
qstr_{s10}_{reg3}_lords_s|{s10}{reg3}位 领 主 支 持 {s9} 。 
qstr_Sorry_currently_I_ca|对 不 起 ，目 前 我 还 无 法 提 供 对 方 领 主 的 有 关 信 息 ，我 们 的 探 子 尚 未 有 任 何 反 馈 。 
qstr_{s1}_at_{s2}|{s1}在 {s2}
qstr_{s11}_and_{s12}|{s11}和 {s12}
qstr_{!}{s11}_{s12}|{!}{s11}，{s12}
qstr_We_are_not_at_war_wi|我 们 没 有 与 任 何 人 交 战 。 
qstr_We_are_at_war_with_{|我 们 正 在 与 {s12}交 战 。 
qstr_{!}DEBUG___prisoner_|{!}调 试 ：囚 犯 来 自 ： {s7}
qstr_Our_kingdom_currentl|我 们 王 国 目 前 有 {reg2}名 士 兵 驻 守 。 
qstr_{s6}_{reg2}_{reg1?to|{s6} {reg2} {reg1?城 镇 :城 镇 }{reg3? 和 :。}
qstr_{s6}_{reg3}_castles.|{s6} {reg3} 城 堡 。
qstr_{s6}_In_addition_we_|{s6}此 外 我 们 有 {reg2}名 士 兵 在 野 外 。分 属 {reg3} 支 部 队 
qstr_We_currently_have_{r|我 们 目 前 有 {reg2}名 士 兵 。 
qstr_{s6}_garrisoned_in_{|{s6}驻 守 在 {reg2?{reg2}个 城 镇 中 :}{reg2?{reg3?: 和 }:}{reg3?{reg3}个 城 堡 中 :}。
qstr_{s6}_In_addition_you|{s6}此 外 你 还 有 {reg2}名 士 兵 在 护 送 队 中 ， {reg3} 名 士 兵 在 巡 逻 队 中 。
qstr_{!}{s52}_{reg2}_{s53|{!}{s52} {reg2} {s53}。
qstr_{reg0?She:He}_fields|{reg0?她 :他 }派 出 了 {reg2} 名 士 兵 。
qstr_We_currently_have_{re|我 们 目 前 有 {reg2}名 士 兵 驻 扎 在 {s60} 。 
qstr__preferring_{s12}_un|， 偏 好 {s12}单 位 。
qstr__and_the_additional_|而 且 其 他 {s13} 教 官 ， 允 许 等 级 {reg13} 的 部 队 获 得 晋 升 。
qstr_{!}{reg2}|{!}{reg2}
qstr_We_currently_have_an|当 前 我 们 的 领 地 税 收 为 {reg0}第 纳 尔 ， 军 费 支 出 为 {reg1}第 纳 尔 。 
qstr_{s6}_We_are_losing_{|{s6}我 们 因 为 税 收 的 低 效 性 损 失 了 {reg0}第 纳 尔 ， 占 到 税 收 总 额 的 {reg1}% 。 
qstr_{s6}_Overall_this_su|{s6}总 计 {reg0}第 纳 尔 。 
qstr_{!}{reg0}|{!}{reg0}
qstr_{reg0}_denars|{reg0}第 纳 尔 
qstr_no|没 有 
qstr_{s60}_is_currently_o|{s60}正 被 歹 徒 占 领 着 ， 我 们 应 尽 快 派 兵 清 剿 。 
qstr__We_are_expecting_{r|我 们 预 计 有 {reg0}第 纳 尔 的 地 租 。 
qstr__The_troop_wages_for|部 队 人 数 为 {reg0}人 ， 军 费 支 出 为 {reg1}第 纳 尔 。 
qstr_{s61}_and_{reg0}_den|{s61}和 {reg0}第 纳 尔 的 关 税 。 
qstr_Well_{s60}.|好 的 ，{s60} 。 
qstr_{s4}_{s3}._The_tax_r|{s4}{s3} 。 税 率 为 {s50} 。 {s59}{s61} 。 共 计 {s62}第 纳 尔 。 
qstr_Tax_rate_for_{s6}:_{|{s6}的 税 率 为 ： {s11}
qstr_village|村 子 
qstr_town|城 镇 
qstr_castle|城 堡 
qstr_{!}{s0}|{!}{s0}
qstr_{!}{s18}_{s0}|{!}{s18}，{s0}
qstr_The_{s17}_has_no_imp|{s17}没 有 任 何 设 施 。 
qstr_The_{s17}_has_the_fo|{s17}有 如 下 设 施 ： {s18} 。 
qstr_{!}DEBUG_:_diplomacy|{!}DEBUG : diplomacy var: {reg0}
qstr_{!}DEBUG_:_persuasio|{!}DEBUG : persuasion: {reg0}
qstr_{!}DEBUG_:_pre_treat|{!}DEBUG : pre-treaty diplomacy var: {reg0}
qstr_{!}DEBUG_:_random:_{|{!}DEBUG : random: {reg0}
qstr_{!}DEBUG_:_final_dip|{!}DEBUG : final diplomacy var: {reg0}
qstr_You_have_shown_great|你 在 战 场 上 表 现 了 出 强 大 的 实 力 。但 我 为 什 么 非 得 把 你 招 进 我 们 的 队 伍 中 呢 ？ 
qstr_All_of_life_is_about|凡 事 都 有 利 弊 。为 什 么 我 们 要 接 纳 你 ？
qstr_I_know_people_do_fea|我 了 解 你 ， 你 的 苛 刻 使 人 害 怕 。 为 什 么 我 们 要 让 你 加 入 呢 ？
qstr_Indeed_I_have_heard_|事 实 上 ， 我 对 你 的 忠 勇 早 有 耳 闻 。 但 你 认 为 这 样 就 足 以 让 我 们 接 纳 你 吗 ？
qstr_I_m_glad_you_want_to|很 高 兴 得 知 你 想 支 援 我 们 。 但 是 ， 效 忠 于 我 的 家 族 ， 这 对 你 来 说 到 底 是 不 是 一 个 明 智 的 选 择 呢 ？ 
qstr_Beside_your_wealth_h|撇 开 你 的 财 富 ， 你 将 如 何 服 务 与 我 和 我 的 家 族 呢 ？
qstr_My_friend_I_see_your|我 的 朋 友 ， 我 明 白 你 的 理 由 。 但 你 真 的 想 冒 着 友 谊 破 裂 的 风 险 与 我 建 立 正 式 的 合 作 关 系 吗 ？ 
qstr_Agreed!_Your_words_c|同 意 ！ 你 的 话 就 像 你 的 {s10}一 样 使 我 信 服 。
qstr_I_trust_you_my_famil|我 相 信 你 ， 你 的 智 慧 与 谋 略 将 为 我 的 家 族 所 用 。 我 们 将 会 影 响 整 片 卡 拉 迪 亚 大 陆 ！ 
qstr_May_God_have_mercy_o|愿 上 帝 宽 恕 敌 人 的 灵 魂 ， 因 为 我 们 不 会 这 么 做 ！ 
qstr_So_be_it._We_are_hon|那 便 如 此 吧 。 我 们 很 荣 幸 的 接 纳 你 成 为 我 们 家 族 的 一 员 。 
qstr__I_will_appreciate_y|我 将 像 看 待 子 女 一 样 看 待 你 。
qstr_I_accept_your_reques|我 接 受 你 的 请 求 。 你 支 持 我 的 家 族 ， 而 我 们 也 将 支 持 你 。 
qstr_Since_you_are_worthy|你 值 得 我 们 的 尊 重 ， 欢 迎 进 入 我 们 的 家 族 。
qstr_Your_leader_is_not_e|你 的 领 导 者 不 是 {reg0?女 王 :国 王 }，这 样 你 也 想 让 我 加 入 你 吗 ？
qstr_{s40}_I_would_never_|{s40}我 永 远 不 会 效 力 于 一 个 没 有 任 何 领 地 的 人 。 
qstr_{s40}_I_know_too_lit|{s40}我 对 你 的 领 袖 知 之 甚 少 。 
qstr_{!}_Emissary_persuas|{!} 特 使 尝 试 说 服 ：技 巧 因 素 {reg1} 对 随 机 数 {reg0}
qstr_{s40}_I_found_your_m|{s40}你 认 为 的 信 使 缺 乏 说 服 力 。 
qstr_{s40}_Next_time_I_wo|{s40}下 次 我 不 想 和 一 个 傻 瓜 说 话 。 
qstr_{s40}_Next_time_I_wou|{s40}下 次 我 更 愿 意 和 一 个 精 通 宫 廷 礼 仪 的 人 说 话 。 
qstr_{!}DEBUG___result_fo|{!}调 试 ：安 全 问 题 结 果 ：{reg2} > 10 
qstr_{!}DEBUG___result_for|{!}调 试 ：政 治 问 题 结 果 ：{reg2} > 0 
qstr_{!}DEBUG___change_pe|{!}调 试 ：变 动 惩 罚 ：{reg2} < 20 
qstr_{!}DEBUG___random:_{|{!}调 试 ：随 机 ：{reg2}
qstr_{!}DEBUG___>_pledge_|{!}调 试 ： > 宣 誓 概 率 ： {reg2}
qstr_{!}DEBUG___result_for_|{!}DEBUG - result for security comparative: {reg2} > 0 
qstr_{!}DEBUG___result_for_p|{!}DEBUG - result for political comparative: {reg2} > 0 
qstr_{s40}_I__d_rather_st|{s40}我 宁 愿 侍 奉 我 当 前 的 君 主 。
qstr_{s31}_{s32}_{s34}|{s31}{s32}{s34}
qstr_{!}DEBUG_:_emissary_|{!}DEBUG : emissary spotting: {reg0} random {reg1}
qstr_{!}_DEBUG___Native_c|{!} DEBUG - Native checklist-peace-or-war result {reg0}, because {s14}
qstr_{!}_Recognition_refu|{!} Recognition refused because player owns no fortresses not claimed by target faction 
